NO;LEVEL;TANGGAL PEMANTAUAN;PERIODE PEMANTAUAN;KODE LOKASI;NAMA LOKASI;ALAMAT LOKASI;PROVINSI;LATITUDE;LONGITUDE;PERUNTUKAN;TSS (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER TSS  (mg/L);DO (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER OKSIGEN TERLARUT  (mg/L);MINYAK & LEMAK (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER MINTAK DAN LEMAK  (mg/L);AMONIA TOTAL (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER AMONIA TOTAL mg/L);ORTOFOSFAT (PO4-P) (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PO4- (mg/L);BOD (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER BOD (mg/L);SUHU;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER SUHU;SALINITAS;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER SALINITAS;KECERAHAN;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER KECERAHAN;KEKERUHAN (NTU);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER KEKERUHAN (NTU);PAH (Polisiklik Aromatik Hidrokarbon);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PAH;PESTISIDA/HERBISIDA (BHC);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PESTISIDA/HERBISIDA (BHC) ;PESTISIDA/HERBISIDA (DDT);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PESTISIDA/HERBISIDA (DDT) ;"PESTISIDA/HERBISIDA
(ENDRIN)";STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PESTISIDA/HERBISIDA (ENDRIN) ;FECAL COLIFORM/E.COLI;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER FECAL/COLIFORM; (DIC) DISSOLVED OXYGEN CARBON;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER  (DIC) DISSOLVED OXYGEN CARBON
1441;PUSAT;13/09/2022;2;T3-SU-05-007;PLN SU-07;AL 7 PT. PLN lndonesia Power PLTU Pangkalan Susu;Sumatera Utara;4.109982;98.300951;Pelabuhan;13;Layak;6.8;Layak;0.5;Layak;0.09;Layak;0.02;Layak;Access Forbidden;Tidak Layak;29;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
1442;PROVINSI;02/12/2025;1;T3-SB-01-005;Sumbar 30;Pantai Sago;Sumatera Barat;-1.317323;100.542426;Wisata Bahari;64.92;Tidak Layak;6.43;Layak;1;Layak;0.11;Layak;0.01;Layak;Tidak ada data;Tidak Layak;30.1;Layak;31.8;Layak;3.8;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
1443;PUSAT;11/06/2020;2;T1-JA-73-004;Jambi04;Kuala Bendahara;Jambi;-0.921801;103.728066;Biota Laut;4.29;Layak;5.73;Layak;1;Layak;0.04;Layak;0.02;Layak;4.9;Layak;29;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
1444;PUSAT;26/07/2024;2;T3-NT-71-001;PPN NTT TEN 01;Area Perairan Dermaga 02 PT PPN - Integrated Terminal Tenau;Nusa Tenggara Timur;-10.204534;123.52465;Pelabuhan;60.99;Tidak Layak;5.92;Layak;0.3;Layak;0.07;Layak;0.04;Layak;2.5;Layak;30.7;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;2.4;Layak;Tidak ada data;Tidak ada baku mutu
1445;PUSAT;29/07/2022;1;T3-SG-06-004;SULTRA REI 02;Laut Dermaga Rohul Energi Indonesia;Sulawesi Tenggara;-5.139798;121.990129;Biota Laut;47.01;Layak;7.1;Layak;0.3;Layak;0.11;Layak;0.04;Layak;Access Forbidden;Tidak Layak;29.3;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1446;PUSAT;19/12/2025;1;T3-JT-74-009;BE PEL 01;AL-1 Area Alur PT Pelabuhan Indonesia (Persero) Regional 2 Bengkulu;Jawa Tengah;-3.903701;102.281466;Pelabuhan;21.74;Layak;6.05;Layak;0.3;Layak;0.2;Layak;0.04;Layak;Access Forbidden;Tidak Layak;30.9;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;2.4;Layak;Tidak ada data;Tidak ada baku mutu
1447;PUSAT;15/02/2021;1;T3-ST-04-003;PPN SULTENG TLI 01;TP-AL KPM 1 Air Laut 16 meter arah timur dari jetty head PT PPN - Fuel Terminal Toli-Toli;Sulawesi Tengah;1.111746;120.780217;Pelabuhan;11.78;Layak;6.52;Layak;0.3;Layak;0.2;Layak;0.02;Layak;5.8;Tidak Layak;30.9;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;6.2;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1448;PUSAT;03/12/2019;2;T3-NT-01-006;PLN NTT BLK 02;Air Laut 2 - 685 m dari outfall PT PLN Unit PLTU Bolok;Nusa Tenggara Timur;-10.234983;123.488166;Pelabuhan;40.79;Layak;4.9;Tidak Layak;0.5;Layak;0.16;Layak;0.03;Layak;Tidak ada data;Tidak Layak;28.9;Layak;31.9;Layak;3.8;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1449;PUSAT;24/12/2024;1;T1-PT-01-009;Papua Tengah 09;Pelabuhan Pertamina;Papua Tengah;-3.349407;135.506782;Pelabuhan;66.77;Tidak Layak;5.28;Layak;0.5;Layak;0.07;Layak;0.03;Layak;Access Forbidden;Tidak Layak;30.8;Layak;31.9;Layak;2.6;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;2.4;Layak;Tidak ada data;Tidak ada baku mutu
1450;PUSAT;10/11/2023;1;T3-NB-04-003;PLN NTB SBW 02;500 m setelah output PLTMG - PT PLN (Persero) UP Tambora PLTMG Sumbawa;Nusa Tenggara Barat;-8.441922;117.341624;Pelabuhan;39.48;Layak;6.61;Layak;0.5;Layak;0.11;Layak;0.03;Layak;Tidak ada data;Tidak Layak;29.1;Layak;Tidak ada data;Layak;3.7;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1451;PUSAT;21/03/2020;2;T1-BE-05-001;Bengkulu17;Air Pring;Bengkulu;-4.232062;102.629509;Biota Laut;29.15;Layak;5.65;Layak;0.3;Layak;0.12;Layak;0.02;Layak;Access Forbidden;Tidak Layak;29.6;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;2.4;Layak;Tidak ada data;Tidak ada baku mutu
1452;PUSAT;05/02/2020;2;T3-BT-04-009;BAN GJTL 03;Titik Pantau 3 PT Gajah Tunggal Divisi SBR;Banten;-5.888302;106.081727;Pelabuhan;35.66;Layak;5.22;Layak;0.5;Layak;0.02;Layak;0.02;Layak;3.5;Layak;30.8;Layak;31.7;Layak;Tidak ada data;Layak;7.3;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1453;PUSAT;01/05/2023;1;T3-JT-74-009;BE PEL 01;AL-1 Area Alur PT Pelabuhan Indonesia (Persero) Regional 2 Bengkulu;Jawa Tengah;-3.901201;102.281798;Pelabuhan;17.75;Layak;6.83;Layak;1;Layak;0.09;Layak;0.02;Layak;2;Layak;30.6;Layak;33;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1454;PUSAT;06/04/2019;2;T3-SU-05-005;PLN SU-05;AL 5 PT. PLN lndonesia Power PLTU Pangkalan Susu;Sumatera Utara;4.097918;98.33036;Pelabuhan;51.46;Tidak Layak;4.92;Tidak Layak;1;Layak;0.13;Layak;0.02;Layak;3.7;Layak;29.9;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;1.5;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1455;PROVINSI;05/06/2021;1;T3-SB-05-006;Pantai Arta;Pantai Arta;Sumatera Barat;-0.519358;100.05281;Wisata Bahari;21.48;Layak;4.83;Tidak Layak;0.3;Layak;0.12;Layak;0.01;Layak;Tidak ada data;Tidak Layak;30.8;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;2.4;Layak;Tidak ada data;Tidak ada baku mutu
1456;PROVINSI;23/05/2020;2;T3-KB-12-003;Sungai Kakap 2;Kecamatan Teluk Pakedai;Kalimantan Barat;-0.203133;109.002246;Biota Laut;40.77;Layak;4.99;Tidak Layak;1;Layak;0.1;Layak;0.04;Layak;5.6;Tidak Layak;29.1;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;1.9;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1457;PUSAT;30/06/2022;1;T3-NT-01-005;PLN NTT BLK 01;Air Laut 1 - 170 m outfall PT PLN Unit PLTU Bolok;Nusa Tenggara Timur;-10.243764;123.489056;Pelabuhan;34.54;Layak;5.39;Layak;1;Layak;0.13;Layak;0.04;Layak;Tidak ada data;Tidak Layak;29.2;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1458;PUSAT;26/04/2024;1;T1-PT-01-007;Papua Tengah 07;Sungai Kali Siriwini;Papua Tengah;-3.332668;135.527604;Biota Laut;42.34;Layak;5.13;Layak;0.3;Layak;0.13;Layak;0.03;Layak;2.7;Layak;29.7;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1459;PUSAT;11/05/2026;2;T1-SS-02-005;Sumsel15;Muara Sungai Lumpur 1;Sumatera Selatan;-3.42155;105.920319;Biota Laut;7.67;Layak;6.53;Layak;0.5;Layak;0.14;Layak;0.02;Layak;4.1;Layak;28.7;Layak;Tidak ada data;Layak;4.4;Layak;7.8;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
1460;PUSAT;30/08/2024;2;T1-PB-03-007;Papua Barat 07;Fak-fak 07 (Air Besar);Papua Barat;-2.949582;132.335694;Biota Laut;42.8;Layak;6.27;Layak;0.5;Layak;0.13;Layak;0.04;Layak;Tidak ada data;Tidak Layak;29.3;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
1461;PROVINSI;01/08/2019;1;T3-BA-03-001;Bali 1 (Pantai Samuh);Jl. Pratama, Segara Sawuh, Kuta Selatan, Badung, Bali, Indonesia;Bali;-8.785488;115.233472;Wisata Bahari;62.49;Tidak Layak;6.72;Layak;1;Layak;0.17;Layak;0.04;Layak;3.6;Layak;30.3;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
1462;PUSAT;12/04/2022;2;T1-AC-71-002;Aceh09;Lampulo 2;Nanggroe Aceh Darussalam;5.594443;95.316131;Pelabuhan;51.69;Tidak Layak;6.55;Layak;0.3;Layak;0.05;Layak;0.02;Layak;3.4;Layak;30.1;Layak;Access Forbidden;Tidak Layak;4.5;Layak;1.4;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;2.4;Layak;Tidak ada data;Tidak ada baku mutu
1463;PUSAT;11/01/2019;2;T3-SB-71-009;PLN SB-03;Titik Pantau Lepas Pantai Gerbang 1 PT. PLN lndonesia Power PLTU Teluk Sirih;Sumatera Barat;-1.069479;100.368554;Pelabuhan;22.41;Layak;4.96;Tidak Layak;0.5;Layak;0.12;Layak;0.03;Layak;Tidak ada data;Tidak Layak;28.7;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;7.6;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1464;PUSAT;13/08/2024;1;T1-SR-02-006;Sulbar06;Pelabuhan Feri Simboro;Sulawesi Barat;-2.667777;118.867485;Pelabuhan;34.36;Layak;6.1;Layak;0.3;Layak;0.08;Layak;0.04;Layak;Access Forbidden;Tidak Layak;30.8;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;4.4;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1465;PUSAT;12/10/2020;1;T3-BE-71-009;BE PEL 07;AL-8 Dekat Powerplant PLTU PT Pelabuhan Indonesia (Persero) Regional 2 Bengkulu;Bengkulu;-3.908644;102.263568;Pelabuhan;24.73;Layak;5.48;Layak;1;Layak;0.16;Layak;0.03;Layak;Tidak ada data;Tidak Layak;29.9;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;3.2;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1466;PUSAT;14/06/2026;1;T3-BE-71-008;BE PEL 06;AL-7 Dermaga Samudera PT Pelabuhan Indonesia (Persero) Regional 2 Bengkulu;Bengkulu;-3.913243;102.276746;Pelabuhan;71.14;Tidak Layak;5.77;Layak;1;Layak;0.14;Layak;0.02;Layak;Access Forbidden;Tidak Layak;30;Layak;Access Forbidden;Tidak Layak;3.3;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1467;PUSAT;11/06/2024;2;T1-BE-05-004;Bengkulu20;Pasar Ngalam;Bengkulu;-4.070423;102.400625;Biota Laut;43.53;Layak;6.08;Layak;0.5;Layak;0.07;Layak;0.03;Layak;2.9;Layak;29.8;Layak;33.9;Layak;2.6;Layak;3.3;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1468;PROVINSI;06/10/2023;1;T1-KS-10-001;Kalsel16;Perairan Batulicin 1 (Multi Trading Pratama);Kalimantan Selatan;-3.453594;116.015752;Pelabuhan;53.86;Tidak Layak;6.26;Layak;1;Layak;0.09;Layak;0.01;Layak;2.9;Layak;30.2;Layak;33.8;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
1469;PUSAT;22/12/2025;1;T1-PD-05-004;Papbar14;Dermaga Petrochina;Papua Barat Daya;-0.992319;131.260658;Pelabuhan;2.35;Layak;6.2;Layak;1;Layak;0.17;Layak;0.02;Layak;Tidak ada data;Tidak Layak;29.5;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1470;PROVINSI;09/03/2020;2;T3-SB-01-004;Sumbar 29;Pantai Api - Api Bayang;Sumatera Barat;-1.303111;100.482052;Wisata Bahari;33.26;Layak;5.17;Layak;0.5;Layak;0.1;Layak;0.03;Layak;3.9;Layak;29.4;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
1471;PUSAT;20/01/2019;2;T3-JB-12-003;PLN JB-IDM 03;Barat Outfall PT PLN Nusantara Power UP Indramayu;Jawa Barat;-6.269511;107.979368;Pelabuhan;2.91;Layak;6.48;Layak;0.3;Layak;0.02;Layak;0.02;Layak;Tidak ada data;Tidak Layak;28.9;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;1.6;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
1472;PROVINSI;07/03/2021;2;T3-SB-71-006;Sumbar 34;Batas Kota;Sumatera Barat;-0.826549;100.292409;Wisata Bahari;35.18;Layak;6.73;Layak;0.3;Layak;0.02;Layak;0.02;Layak;2.9;Layak;28.8;Layak;Access Forbidden;Tidak Layak;3.3;Layak;6.9;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1473;PROVINSI;23/06/2019;1;T3-KB-12-001;Titik Kontrol Tengah;Muara Sungai Kapuas;Kalimantan Barat;-0.001095;109.050781;Biota Laut;14.89;Layak;4.99;Tidak Layak;1;Layak;0.04;Layak;0.01;Layak;Tidak ada data;Tidak Layak;29.7;Layak;Tidak ada data;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
1474;PUSAT;24/12/2022;1;T3-AC-06-002;PT SBA 2;AL 2 PT Solusi Bangun Andalas;Nanggroe Aceh Darussalam;5.453109;95.240716;Pelabuhan;18.58;Layak;6.69;Layak;1;Layak;0.04;Layak;0.01;Layak;Access Forbidden;Tidak Layak;30.1;Layak;32.5;Layak;Access Forbidden;Tidak Layak;4.8;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1475;PUSAT;24/06/2020;1;T1-SS-02-007;Sumsel17;Muara Sungai Lumpur 3;Sumatera Selatan;-3.453166;105.898841;Biota Laut;6.35;Layak;6.89;Layak;0.3;Layak;0.19;Layak;0.03;Layak;Tidak ada data;Tidak Layak;29.7;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;1.7;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1476;PUSAT;30/04/2022;1;T3-JT-01-004;PLN JTG ADI 04;ALT-4 PT. PLN lndonesia Power PLTU Jawa Tengah 2 Adipala;Jawa Tengah;-7.696253;109.134043;Biota Laut;16.15;Layak;5.59;Layak;0.5;Layak;0.19;Layak;0.02;Layak;Access Forbidden;Tidak Layak;28.9;Layak;Tidak ada data;Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1477;PUSAT;22/01/2024;2;T3-KR-71-008;KEPRI ECO 02;ECO-02 PT. Ecogreen Oleochemicals - Batam Plant;Kepulauan Riau;1.068184;104.137156;Pelabuhan;15.57;Layak;6.2;Layak;0.5;Layak;0.09;Layak;0.02;Layak;Access Forbidden;Tidak Layak;30.3;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;5.7;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1478;PROVINSI;15/08/2020;1;T1-KS-01-008;Kalsel22;Pantai Tanjung Dewa-Muara Batakan;Kalimantan Selatan;-4.070796;114.611091;Biota Laut;55.68;Tidak Layak;6.75;Layak;0.5;Layak;0.04;Layak;0.01;Layak;2.7;Layak;29.4;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
1479;PUSAT;21/01/2020;2;T3-SG-06-005;SULTRA REI 01;Laut Mangrove Rohul Energi Indonesia;Sulawesi Tenggara;-5.132822;121.98541;Biota Laut;6.57;Layak;6.16;Layak;1;Layak;0.07;Layak;0.03;Layak;Access Forbidden;Tidak Layak;28.7;Layak;Access Forbidden;Tidak Layak;3.9;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1480;PROVINSI;07/04/2021;2;T3-YO-02-001;Pantai Parangtritis;Pantai Parangtritis;Daerah Istimewa Yogyakarta;-8.026738;110.336248;Wisata Bahari;51.77;Tidak Layak;5.88;Layak;0.3;Layak;0.12;Layak;0.04;Layak;Tidak ada data;Tidak Layak;29.9;Layak;Access Forbidden;Tidak Layak;2.6;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
1481;PUSAT;24/07/2026;2;T1-JA-73-002;Jambi02;Kuala Betara;Jambi;-0.845349;103.587554;Biota Laut;8.33;Layak;5.51;Layak;1;Layak;0.07;Layak;0.04;Layak;3.7;Layak;29.4;Layak;32.4;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
